check_in,check_out,nights,villa_name,platform
2023-02-02,2023-02-03,1,chandra,direct
2023-02-11,2023-02-12,1,surya,direct
2023-03-03,2023-03-04,1,chandra,direct
2023-03-21,2023-03-23,2,surya,direct
2023-04-14,2023-04-16,2,chandra,direct
2023-08-08,2023-08-13,5,jala,direct
2023-10-24,2023-10-28,4,surya,direct
2023-08-13,2023-08-15,2,akasha,direct
2023-08-18,2023-08-20,2,jala,direct
2023-08-26,2023-08-27,1,lakshmi,direct
2023-10-11,2023-10-15,4,lakshmi,direct
2023-11-19,2023-11-20,1,surya,direct
2022-12-27,2023-01-01,5,surya,website
2023-06-14,2023-06-18,4,chandra,website
2023-01-27,2023-01-29,2,surya,website
2023-11-13,2023-11-16,3,surya,website
2023-08-12,2023-08-15,3,surya,website
2023-03-07,2023-03-10,3,akasha,direct
2023-04-08,2023-04-09,1,lakshmi,direct
2023-07-20,2023-07-22,2,chandra,website
2023-04-09,2023-04-11,2,jala,direct
2023-08-18,2023-08-19,1,chandra,website
2023-08-16,2023-08-18,2,jala,website
2023-04-07,2023-04-08,1,lakshmi,direct
2023-06-23,2023-06-27,4,chandra,website
2023-04-13,2023-04-14,1,lakshmi,direct
2023-05-21,2023-05-24,3,akasha,direct
2023-07-28,2023-07-31,3,chandra,website
2023-09-10,2023-09-14,4,akasha,website
2023-09-30,2023-10-01,1,chandra,website
2023-10-24,2023-10-28,4,jala,website
2023-11-14,2023-11-17,3,jala,website
2023-11-19,2023-11-28,9,jala,website
2023-12-06,2023-12-09,3,chandra,airbnb
2023-12-04,2023-12-06,2,chandra,airbnb
2023-11-28,2023-11-29,1,chandra,airbnb
2023-11-26,2023-11-27,1,surya,airbnb
2023-11-16,2023-11-17,1,chandra,airbnb
2023-11-13,2023-11-17,4,lakshmi,airbnb
2023-11-10,2023-11-13,3,jala,airbnb
2023-11-05,2023-11-06,1,chandra,airbnb
2023-10-31,2023-11-03,3,chandra,airbnb
2023-11-04,2023-11-08,4,chandra,airbnb
2023-10-28,2023-11-04,7,jala,airbnb
2023-10-28,2023-10-30,2,surya,airbnb
2023-10-25,2023-10-30,5,chandra,airbnb
2023-10-18,2023-10-23,5,surya,airbnb
2023-10-18,2023-10-22,4,chandra,airbnb
2023-10-15,2023-10-16,1,lakshmi,airbnb
2023-10-14,2023-10-16,2,chandra,airbnb
2023-10-11,2023-10-13,2,chandra,airbnb
2023-10-10,2023-10-11,1,chandra,airbnb
2023-10-08,2023-10-10,2,chandra,airbnb
2023-10-07,2023-10-12,5,surya,airbnb
2023-10-05,2023-10-08,3,chandra,airbnb
2023-10-03,2023-10-06,3,lakshmi,airbnb
2023-10-01,2023-10-04,3,chandra,airbnb
2023-09-24,2023-09-25,1,chandra,airbnb
2023-09-20,2023-09-22,2,surya,airbnb
2023-09-18,2023-09-20,2,jala,airbnb
2023-09-16,2023-09-17,1,chandra,airbnb
2023-09-09,2023-09-11,2,chandra,airbnb
2023-09-06,2023-09-08,2,surya,airbnb
2023-09-05,2023-09-07,2,chandra,airbnb
2023-08-23,2023-08-24,1,chandra,airbnb
2023-08-21,2023-08-25,4,surya,airbnb
2023-08-20,2023-08-23,3,chandra,airbnb
2023-08-20,2023-08-26,6,lakshmi,airbnb
2023-08-19,2023-08-20,1,lakshmi,airbnb
2023-08-19,2023-08-20,1,chandra,airbnb
2023-08-16,2023-08-19,3,surya,airbnb
2023-08-13,2023-08-14,1,chandra,airbnb
2023-08-11,2023-08-12,1,surya,airbnb
2023-08-10,2023-08-13,3,chandra,airbnb
2023-08-09,2023-08-11,2,surya,airbnb
2023-08-08,2023-08-13,5,lakshmi,airbnb
2023-08-08,2023-08-09,1,surya,airbnb
2023-08-05,2023-08-08,3,surya,airbnb
2023-08-04,2023-08-06,2,lakshmi,airbnb
2023-08-04,2023-08-08,4,chandra,airbnb
2023-07-30,2023-08-01,2,surya,airbnb
2023-07-30,2023-08-04,5,lakshmi,airbnb
2023-07-27,2023-07-30,3,lakshmi,airbnb
2023-07-25,2023-07-27,2,lakshmi,airbnb
2023-07-21,2023-07-23,2,surya,airbnb
2023-07-18,2023-07-21,3,jala,airbnb
2023-07-16,2023-07-22,6,lakshmi,airbnb
2023-07-12,2023-07-14,2,lakshmi,airbnb
2023-07-11,2023-07-17,6,surya,airbnb
2023-07-08,2023-07-11,3,surya,airbnb
2023-07-07,2023-07-08,1,surya,airbnb
2023-07-05,2023-07-12,7,lakshmi,airbnb
2023-07-02,2023-07-05,3,chandra,airbnb
2023-07-04,2023-07-08,4,jala,airbnb
2023-07-01,2023-07-05,4,lakshmi,airbnb
2023-06-27,2023-06-30,3,lakshmi,airbnb
2023-06-27,2023-07-02,5,surya,airbnb
2023-06-23,2023-06-26,3,lakshmi,airbnb
2023-06-20,2023-06-23,3,chandra,airbnb
2023-06-17,2023-06-21,4,lakshmi,airbnb
2023-06-15,2023-06-18,3,jala,airbnb
2023-06-13,2023-06-16,3,lakshmi,airbnb
2023-06-11,2023-06-13,2,chandra,airbnb
2023-06-07,2023-06-11,4,chandra,airbnb
2023-06-07,2023-06-11,4,surya,airbnb
2023-06-05,2023-06-11,6,lakshmi,airbnb
2023-06-02,2023-06-06,4,chandra,airbnb
2023-06-01,2023-06-05,4,surya,airbnb
2023-05-31,2023-06-02,2,chandra,airbnb
2023-05-29,2023-05-30,1,chandra,airbnb
