date,rate
2022-01-01,14250.40122
2022-01-02,14250.16921
2022-01-03,14264.37095
2022-01-04,14300.21589
2022-01-05,14355.17411
2022-01-06,14390.40986
2022-01-07,14355.40471
2022-01-08,14355.16903
2022-01-09,14355.35442
2022-01-10,14305.42065
2022-01-11,14300.24538
2022-01-12,14315.21979
2022-01-13,14290.39928
2022-01-14,14295.30338
2022-01-15,14295.31161
2022-01-16,14295.22869
2022-01-17,14315.15064
2022-01-18,14335.3708
2022-01-19,14360.3308
2022-01-20,14335.25393
2022-01-21,14335.33373
2022-01-22,14335.34476
2022-01-23,14335.31196
2022-01-24,14340.40431
2022-01-25,14350.34867
2022-01-26,14355.29864
2022-01-27,14385.22888
2022-01-28,14385.22892
2022-01-29,14385.1839
2022-01-30,14385.15852
2022-01-31,14380.38378
2022-02-01,14380.20862
2022-02-02,14355.33009
2022-02-03,14375.34287
2022-02-04,14378.15028
2022-02-05,14378.14596
2022-02-06,14378.36978
2022-02-07,14413.18852
2022-02-08,14370.71375
2022-02-09,14334.61682
2022-02-10,14357.21985
2022-02-11,14345.14856
2022-02-12,14344.98568
2022-02-13,14345.17027
2022-02-14,14303.8415
2022-02-15,14265.79692
2022-02-16,14274.69866
2022-02-17,14377.66704
2022-02-18,14367.09393
2022-02-19,14367.21235
2022-02-20,14367.06017
2022-02-21,14355.18896
2022-02-22,14380.50214
2022-02-23,14352.57784
2022-02-24,14456.75465
2022-02-25,14334.54799
2022-02-26,14334.41606
2022-02-27,14334.50409
2022-02-28,14367.24968
2022-03-01,14429.78986
2022-03-02,14365.55007
2022-03-03,14359.59308
2022-03-04,14383.51657
2022-03-05,14383.40417
2022-03-06,14383.53889
2022-03-07,14407.6699
2022-03-08,14363.97763
2022-03-09,14255.17356
2022-03-10,14280.21999
2022-03-11,14327.29698
2022-03-12,14327.17583
2022-03-13,14327.33602
2022-03-14,14351.65978
2022-03-15,14305.71831
2022-03-16,14263.12452
2022-03-17,14321.79565
2022-03-18,14342.56432
2022-03-19,14342.55579
2022-03-20,14342.736
2022-03-21,14342.30662
2022-03-22,14350.74801
2022-03-23,14394.20828
2022-03-24,14362.50463
2022-03-25,14357.62703
2022-03-26,14357.73706
2022-03-27,14341.18022
2022-03-28,14377.32539
2022-03-29,14338.42103
2022-03-30,14323.26137
2022-03-31,14357.67843
2022-04-01,14371.63591
2022-04-02,14371.81229
2022-04-03,14368.1572
2022-04-04,14329.18804
2022-04-05,14358.67536
2022-04-06,14387.16828
2022-04-07,14374.68504
2022-04-08,14370.9641
2022-04-09,14370.82798
2022-04-10,14362.37241
2022-04-11,14360.91976
2022-04-12,14364.64397
2022-04-13,14360.59041
2022-04-14,14384.10633
2022-04-15,14366.9603
2022-04-16,14366.95882
2022-04-17,14344.42775
2022-04-18,14354.19824
2022-04-19,14365.29679
2022-04-20,14352.26328
2022-04-21,14386.22163
2022-04-22,14470.41648
2022-04-23,14470.34372
2022-04-24,14357.32491
2022-04-25,14481.83962
2022-04-26,14473.23718
2022-04-27,14447.82103
2022-04-28,14516.37291
2022-04-29,14525.49988
2022-04-30,14525.24784
2022-05-01,14497.28152
2022-05-02,14526.80325
2022-05-03,14512.79345
2022-05-04,14430.42112
2022-05-05,14459.09827
2022-05-06,14499.0275
2022-05-07,14498.92752
2022-05-08,14497.43455
