date,amount_usd,amount_idr,description,category,is_split,rate
2023-11-01,18.0,286203.0,$18 dinner,personal,False,15900.15487
2023-11-01,15.0,238502.0,$15 lunch,personal,False,15900.15487
2023-11-01,125.78,2000000.0,2mm Saiful meds,personal,False,15900.15487
2023-11-01,1572.31,25000000.0,25mm Ira operating expenses and salaries,Amarose,False,15900.15487
2023-11-02,707.96,11215000.0,11.215mm to Ira operating expenses,Amarose,False,15841.29368
2023-11-02,410.32,6500000.0,6.5mm Ardana salary,Amarose,False,15841.29368
2023-11-02,550.0,8712712.0,$550 JG Creatives,Amarose,False,15841.29368
2023-11-02,945.0,14970023.0,$945 to Suzanne balance for October salary via Akasha,Amarose,False,15841.29368
2023-11-02,132.56,2100000.0,2.1mm Allianz insurance,Amarose,False,15841.29368
2023-11-02,500.0,7920647.0,$500 Kevin for partial payment against October,Amarose,False,15841.29368
2023-11-02,500.0,7920647.0,$500 Coates Media against past due,Amarose,False,15841.29368
2023-11-02,25.0,396032.0,$25 charity for Aiden,personal,False,15841.29368
2023-11-02,42.0,665334.0,$42 lunch,personal,False,15841.29368
2023-11-02,18.0,285143.0,$18 for drinks,personal,False,15841.29368
2023-11-02,357.99,5671000.0,5.671mm to Biznet,Amarose,False,15841.29368
2023-11-03,9.0,141440.0,Bolt $9,Lako,False,15715.59247
2023-11-03,10.0,157156.0,$10 is apple,personal,False,15715.59247
2023-11-03,30.0,471468.0,$30 food,personal,False,15715.59247
2023-11-04,10.0,157156.0,$10 Redbull,personal,False,15715.59291
2023-11-04,100.0,1571559.0,$100 ATM withdrawal,personal,False,15715.59291
2023-11-05,486.75,7644000.0,7.644mm to Ira (2.4mm for obat for pools; 5.244mm listrik),Amarose,False,15704.15308
2023-11-05,126.5,1986575.0,$253 T-Mobile,Amarose,True,15704.15308
2023-11-05,126.5,1986575.0,$253 T-Mobile,law firm,True,15704.15308
2023-11-06,322.2,5000000.0,5mm to Suzanne partial salary November,Amarose,False,15518.30438
2023-11-06,311.0,4826193.0,$311 Adobe,law firm,False,15518.30438
2023-11-06,902.16,14000000.0,14mm Budi new water heater,Amarose,False,15518.30438
2023-11-06,12.0,186220.0,$12 Spotify,personal,False,15518.30438
2023-11-06,14.0,217256.0,$14 Apple,personal,False,15518.30438
2023-11-06,64.44,1000000.0,1mm cash withdrawal,personal,False,15518.30438
2023-11-07,111.0,1734178.0,$111 Microsoft,law firm,False,15623.22223
2023-11-08,2312.77,36149017.0,36.149.017mm to Riza for CPA fees and local taxes,Amarose,False,15630.19656
2023-11-08,303.0,4735950.0,$303 1st American,personal,False,15630.19656
2023-11-08,57.58,900000.0,900k mani/pedi,personal,False,15630.19656
2023-11-08,17.91,280000.0,280k sugaring,personal,False,15630.19656
2023-11-08,8.96,140000.0,140k lunch,personal,False,15630.19656
2023-11-08,1.0,15630.0,$1 SOS Fainotoys,law firm,False,15630.19656
2023-11-09,191.89,3000000.0,3mm to Ira for groceries,Amarose,False,15633.88398
2023-11-09,35.0,547186.0,$35 registered agent Fainotoys,law firm,False,15633.88398
2023-11-09,60.77,950000.0,"950k hair dye, lashes",personal,False,15633.88398
