date,amount_usd,amount_idr,description,category,is_split,rate
2023-10-01,19.0,294154.63301,Google $19,Amarose,False,15481.82279
2023-10-01,18.0,278672.81022,$18 Walgreens,personal,False,15481.82279
2023-10-01,16.0,247709.16464,$16 car wash,personal,False,15481.82279
2023-10-01,2734.820090264061,42340000.0,42.340mm to Ira for salaries and operational expenses,Amarose,False,15481.82279
2023-10-01,419.84720327624933,6500000.0,6.5mm to Ardana salary,Amarose,False,15481.82279
2023-10-02,47.0,728768.11385,$47 airline tix to Stuttgart,Lako,False,15505.70455
2023-10-02,135.4340264402884,2100000.0,2.1mm to Allianz for insurance,Amarose,False,15505.70455
2023-10-02,36.0,558205.3638,$36 Amazon Lita Bday gift,personal,False,15505.70455
2023-10-02,43.0,666745.29565,$43 food,personal,False,15505.70455
2023-10-03,500.0,7778004.01,$500 to Kevin against August past due,Amarose,False,15556.00802
2023-10-03,500.0,7778004.01,$500 to Coates Media against November 2021 past due,Amarose,False,15556.00802
2023-10-03,38.0,591128.30476,$38 drivers license,personal,False,15556.00802
2023-10-03,38.0,591128.30476,$38 Walgreens,personal,False,15556.00802
2023-10-03,10.0,155560.0802,$10 Apple,personal,False,15556.00802
2023-10-03,960.0,14933767.699199999,$960 Suzanne 2nd payment past due salary for September,Amarose,False,15556.00802
2023-10-03,256.0,3982338.05312,$256 flight to El Paso,law firm,False,15556.00802
2023-10-03,128.0,1991169.02656,$128 Grace playpen,personal,False,15556.00802
2023-10-03,25.0,388900.2005,$25 Meagan for donation,law firm,False,15556.00802
2023-10-03,100.0,1555600.802,$60 ATM withdrawal plus $40 cash for Aiden Bday present,personal,False,15556.00802
2023-10-04,6.0,93661.09049999999,$6.40 Dropbox to add Bre,Amarose,False,15610.18175
2023-10-04,45.0,702458.17875,$45 dinner,personal,False,15610.18175
2023-10-04,363.28853121777394,5671000.0,5.671mm Biznet,Amarose,False,15610.18175
2023-10-04,1.0,15610.18175,$1 SOS,law firm,False,15610.18175
2023-10-05,11.0,171615.37701,$11 breakfast,personal,False,15601.39791
